Device Serial:	0001
Estimated Duration[s]:	310.9626770019536
Start Time:	2022-10-10 13:17:23
Estimated End:	2022-10-10 13:22:34
Lower Bound[V]:	2.6
Upper Bound[V]:	2.7
Start Voltage[V]:	2.689037322998047
Stop Voltage[V]:	2.6
Scan Rate[V/s]:	0.001
Cycles:	1
Samples to Average:	1

Elapsed_Time(s)	Potential(V)	Current(A)	Cycle
2.855452e+01	2.682064e+00	-3.313760e-04	1
2.864335e+01	2.682022e+00	-3.316355e-04	1
2.873368e+01	2.682026e+00	-3.342653e-04	1
2.882387e+01	2.681911e+00	-3.390767e-04	1
2.891450e+01	2.681816e+00	-3.407631e-04	1
2.900416e+01	2.681683e+00	-3.452207e-04	1
2.909363e+01	2.681625e+00	-3.467184e-04	1
2.918292e+01	2.681561e+00	-3.496312e-04	1
2.927537e+01	2.681461e+00	-3.536643e-04	1
2.936354e+01	2.681385e+00	-3.554804e-04	1
2.945414e+01	2.681232e+00	-3.605041e-04	1
2.954380e+01	2.681122e+00	-3.642896e-04	1
2.963434e+01	2.681087e+00	-3.653627e-04	1
2.972465e+01	2.680962e+00	-3.713063e-04	1
2.981404e+01	2.680859e+00	-3.721082e-04	1
2.990405e+01	2.680843e+00	-3.750328e-04	1
2.999467e+01	2.680676e+00	-3.810825e-04	1
3.008357e+01	2.680599e+00	-3.823914e-04	1
3.017476e+01	2.680534e+00	-3.869317e-04	1
3.026384e+01	2.680439e+00	-3.895143e-04	1
3.035461e+01	2.680367e+00	-3.910001e-04	1
3.044402e+01	2.680214e+00	-3.965192e-04	1
3.053366e+01	2.680195e+00	-3.953399e-04	1
3.062446e+01	2.680084e+00	-3.994555e-04	1
3.071440e+01	2.679966e+00	-4.051043e-04	1
3.080438e+01	2.679882e+00	-4.080642e-04	1
3.089342e+01	2.679787e+00	-4.111539e-04	1
3.098379e+01	2.679775e+00	-4.126162e-04	1
3.107544e+01	2.679634e+00	-4.168970e-04	1
3.116305e+01	2.679554e+00	-4.216495e-04	1
3.125319e+01	2.679497e+00	-4.218500e-04	1
3.134407e+01	2.679379e+00	-4.254939e-04	1
3.143451e+01	2.679245e+00	-4.297393e-04	1
3.152496e+01	2.679157e+00	-4.300577e-04	1
3.161225e+01	2.679192e+00	-4.317912e-04	1
3.170395e+01	2.679039e+00	-4.384659e-04	1
3.179435e+01	2.678894e+00	-4.392914e-04	1
3.188419e+01	2.678829e+00	-4.470511e-04	1
3.197436e+01	2.678738e+00	-4.474402e-04	1
3.206305e+01	2.678658e+00	-4.490204e-04	1
3.215681e+01	2.678558e+00	-4.541149e-04	1
3.224381e+01	2.678436e+00	-4.563555e-04	1
3.233399e+01	2.678379e+00	-4.599051e-04	1
3.242530e+01	2.678272e+00	-4.654595e-04	1
3.251727e+01	2.678123e+00	-4.661081e-04	1
3.260491e+01	2.678120e+00	-4.683605e-04	1
3.269420e+01	2.678055e+00	-4.731366e-04	1
3.278315e+01	2.677879e+00	-4.743041e-04	1
3.287929e+01	2.677853e+00	-4.793632e-04	1
3.296416e+01	2.677670e+00	-4.814151e-04	1
3.305406e+01	2.677612e+00	-4.841156e-04	1
3.314369e+01	2.677612e+00	-4.874648e-04	1
3.323803e+01	2.677479e+00	-4.891158e-04	1
3.332567e+01	2.677391e+00	-4.902714e-04	1
3.341341e+01	2.677296e+00	-4.987622e-04	1
3.350438e+01	2.677200e+00	-5.017104e-04	1
3.359927e+01	2.677071e+00	-5.076893e-04	1
3.368429e+01	2.677013e+00	-5.061917e-04	1
3.377423e+01	2.676872e+00	-5.089158e-04	1
3.386473e+01	2.676769e+00	-5.159560e-04	1
3.395907e+01	2.676659e+00	-5.149772e-04	1
3.404338e+01	2.676674e+00	-5.166872e-04	1
3.413240e+01	2.676525e+00	-5.228194e-04	1
3.422436e+01	2.676445e+00	-5.240577e-04	1
3.431942e+01	2.676300e+00	-5.309918e-04	1
3.440421e+01	2.676270e+00	-5.312276e-04	1
3.449307e+01	2.676178e+00	-5.323951e-04	1
3.458462e+01	2.676060e+00	-5.396712e-04	1
3.467946e+01	2.676003e+00	-5.401547e-04	1
3.476264e+01	2.675961e+00	-5.416996e-04	1
3.485456e+01	2.675800e+00	-5.461573e-04	1
3.494381e+01	2.675747e+00	-5.477611e-04	1
3.503865e+01	2.675602e+00	-5.534805e-04	1
3.512434e+01	2.675583e+00	-5.528555e-04	1
3.521146e+01	2.675526e+00	-5.566528e-04	1
3.530449e+01	2.675400e+00	-5.621718e-04	1
3.539953e+01	2.675282e+00	-5.648605e-04	1
3.548424e+01	2.675209e+00	-5.671955e-04	1
3.557514e+01	2.675144e+00	-5.696130e-04	1
3.566334e+01	2.675022e+00	-5.736933e-04	1
3.575805e+01	2.674911e+00	-5.759811e-04	1
3.584432e+01	2.674820e+00	-5.787760e-04	1
3.593403e+01	2.674732e+00	-5.792241e-04	1
3.602502e+01	2.674641e+00	-5.848964e-04	1
3.611962e+01	2.674530e+00	-5.870545e-04	1
3.620480e+01	2.674572e+00	-5.864177e-04	1
3.629289e+01	2.674362e+00	-5.944603e-04	1
3.638449e+01	2.674328e+00	-5.947905e-04	1
3.647996e+01	2.674198e+00	-5.965830e-04	1
3.656397e+01	2.674141e+00	-6.017129e-04	1
3.665429e+01	2.674133e+00	-6.025619e-04	1
3.674488e+01	2.674030e+00	-6.049794e-04	1
3.683785e+01	2.673882e+00	-6.086234e-04	1
